parameter,combine_value,combine_error,rabbit_value,rabbit_error,dvalue_over_sigma,error_ratio
CMS_flavTag_Stat_flavC_B0_2024,0.7796113646236483,0.38810165516884254,0.5535225414929283,0.35728370770508416,-0.5825505254090212,0.9205931047875817
CMS_flavTag_Stat_flavL_C3_2024,0.2307795833798685,0.6082413218102133,-0.051254016122227325,0.5893306190882431,-0.4636870093973942,0.9689092107953317
xsec_ttcj,0.9788522956386566,0.3249613034044532,1.1178736653520187,0.26926039185001105,0.42780899835428526,0.8285921709111448
xsec_tt2c,0.5276012177328707,0.36699551658496476,0.6533871253399829,0.4644663821599666,0.34274507976990753,1.2655914341461334
CMS_flavTag_Stat_flavL_B1_2024,0.9398229109464009,0.793524181143318,0.6752295173365511,0.8608923323647333,-0.3334408703571211,1.0848974143728682
CMS_flavTag_Stat_flavL_B0_2024,0.7534616867564721,0.30401144987606077,0.8488541742599744,0.4072371686507701,0.3137792591114313,1.3395454967791256
topHdampWeight_ttLF_2024,0.0016356580445209743,0.8649687641409461,-0.22564233853190396,0.8975521741295119,-0.26275861741914897,1.0376700423638145
xsec_ttcc,0.6921880210092719,0.1491993388102726,0.7286233338660895,0.16754798801825427,0.24420559197752242,1.122980767571058
CMS_flavTag_PS_FSR_zjets,0.16598331921440365,1.021008059062736,-0.07476138353138678,1.9322624756530133,-0.23579118755124132,1.892504626679235
CMS_flavTag_Stat_flavC_C2_2024,0.4792052862082089,0.28158248839219135,0.42335893460940255,0.34846510582029944,-0.1983303433309493,1.237524065541154
PS_fsr_Q2QG_muR_ttLF_2024,-0.7533497342912442,0.8308527041096845,-0.911877699686863,0.880449517314201,-0.19080152788994342,1.0596938698751217
CMS_flavTag_Stat_flavL_C4_2024,0.5693268597854869,0.37318170734130895,0.6387541634595598,0.4955375767420117,0.18604155109504136,1.3278720982129948
CMS_flavTag_Stat_flavC_B1_2024,1.1624637532532498,0.8016133113346675,1.0464867634725736,0.7340090478715656,-0.14467947093789796,0.9156647444507348
jer,0.4053054769521734,0.47247792808348227,0.3379698074134582,0.5099431330954886,-0.14251601087875074,1.0792951432969087
norm_ttbb-dps,0.7559290404805961,1.202747552057807,0.9238874201198957,1.2285678840979053,0.13964558011524192,1.0214677901409333
minorBkg_PS_FSR_wjets_2024,-0.917873671710732,0.8561504499041109,-0.8042486791827926,0.8387506986695351,0.13271615116322763,0.979676759807199
xsec_ttbb,0.7599472553367859,0.10512742647485983,0.7734884661460373,0.11900838009552378,0.12880759344460563,1.1320393172944592
CMS_flavTag_JES_BBEC1_2024,-0.045962022802645476,1.347585807927695,-0.1986038875038865,1.2978402161971367,-0.11327060867164539,0.9630853995063539
CMS_flavTag_Stat_flavB_C0_2024,0.6247843347536289,0.9383134364568019,0.7222222914510144,0.9633582865029992,0.10384371885936568,1.026691347553084
norm_singletop,-0.727797571464644,0.7864179817365929,-0.6518061910602352,0.7758185671007249,0.09662975945260334,0.9865219070748331
CMS_flavTag_JES_RelativeBal,0.1596093935946084,0.0,0.2519454359067486,1.0508175747285404,0.09233604231214021,nan
